product_brand,product_title,product_model,product_url,product_price,product_price_original,product_discount,product_discount_percentage,product_rating_average,product_reviews_number,product_rating_5,product_rating_4,product_rating_3,product_rating_2,product_rating_1
LG Electronics,"24 in. Stainless Steel Front Control Dishwasher with QuadWash, 3rd Rack & Dynamic Dry, 48 dBA",Model # LDFN454HT,https://www.homedepot.com/p/LG-Electronics-24-in-Stainless-Steel-Front-Control-Dishwasher-with-QuadWash-3rd-Rack-Dynamic-Dry-48-dBA-LDFN454HT/316419422,698.0,849.0,151.0,17.79,4.19,1533,930,287,113,76,127
Samsung,"24 in. Fingerprint Resistant Black Stainless Steel Top Control Smart Tall Tub Dishwasher with AutoRelease, 42dBA",Model # DW80B7071UG,https://www.homedepot.com/p/Samsung-24-in-Fingerprint-Resistant-Black-Stainless-Steel-Top-Control-Smart-Tall-Tub-Dishwasher-with-AutoRelease-42dBA-DW80B7071UG/320555958,1078.0,1199.0,121.0,10.09,5.0,3,3,0,0,0,0
LG Electronics,"24 in. Stainless Steel Top Control Built-In Tall Tub Smart Dishwasher with QuadWash, TrueSteam, 3rd Rack, 42 dBA",Model # LDT7808SS,https://www.homedepot.com/p/LG-Electronics-24-in-Stainless-Steel-Top-Control-Built-In-Tall-Tub-Smart-Dishwasher-with-QuadWash-TrueSteam-3rd-Rack-42-dBA-LDT7808SS/308727665,1048.0,1249.0,201.0,16.09,4.23,882,577,136,49,31,89
LG Electronics,"24 in. Stainless Steel Front Control Built-In Dishwasher with Stainless Steel Tub, Quadwash, Dynamic Dry, ADA, 48 dBA",Model # ADFD5448AT,https://www.homedepot.com/p/LG-Electronics-24-in-Stainless-Steel-Front-Control-Built-In-Dishwasher-with-Stainless-Steel-Tub-Quadwash-Dynamic-Dry-ADA-48-dBA-ADFD5448AT/314963579,949.0,949.0,0.0,0.0,4.1,33,21,3,3,2,4
LG Electronics,"24 in. PrintProof Stainless Steel Top Control Built-In Smart Dishwasher with Stainless Steel Tub and QuadWash, 44 dBA",Model # LDP6810SS,https://www.homedepot.com/p/LG-Electronics-24-in-PrintProof-Stainless-Steel-Top-Control-Built-In-Smart-Dishwasher-with-Stainless-Steel-Tub-and-QuadWash-44-dBA-LDP6810SS/313097089,948.0,1099.0,151.0,13.74,4.4,759,507,124,45,28,55
LG Electronics,"24 in. in PrintProof Stainless Steel Top Control Dishwasher with Towel Bar, TrueSteam and QuadWash",Model # LDTS5552S,https://www.homedepot.com/p/LG-Electronics-24-in-in-PrintProof-Stainless-Steel-Top-Control-Dishwasher-with-Towel-Bar-TrueSteam-and-QuadWash-LDTS5552S/317805731,898.0,999.0,101.0,10.11,4.16,123,76,20,11,3,13
LG Electronics,24 in. in Stainless Steel Front Control Dishwasher with NeveRust Stainless Steel Tub and Dynamic Dry,Model # LDFN3432T,https://www.homedepot.com/p/LG-Electronics-24-in-in-Stainless-Steel-Front-Control-Dishwasher-with-NeveRust-Stainless-Steel-Tub-and-Dynamic-Dry-LDFN3432T/315736870,648.0,799.0,151.0,18.9,4.1,321,182,62,27,18,32
Samsung,"24 in. Top Control Tall Tub Dishwasher in Stainless Steel with Stainless Steel Interior Door, 55 dBA",Model # DW80R2031US,https://www.homedepot.com/p/Samsung-24-in-Top-Control-Tall-Tub-Dishwasher-in-Stainless-Steel-with-Stainless-Steel-Interior-Door-55-dBA-DW80R2031US/309731132,578.0,649.0,71.0,10.94,3.77,1988,1008,354,155,103,368
Samsung,"24 in. Fingerprint Resistant Black Stainless Steel Top Control Smart Tall Tub Dishwasher with AutoRelease, 44dBA",Model # DW80B6061UG,https://www.homedepot.com/p/Samsung-24-in-Fingerprint-Resistant-Black-Stainless-Steel-Top-Control-Smart-Tall-Tub-Dishwasher-with-AutoRelease-44dBA-DW80B6061UG/320555953,848.0,1099.0,251.0,22.84,5.0,3,3,0,0,0,0
Samsung,"24 in. Fingerprint Resistant Stainless Steel Top Control Smart Tall Tub Dishwasher with AutoRelease, 3rd Rack, 42dBA",Model # DW80B7071US,https://www.homedepot.com/p/Samsung-24-in-Fingerprint-Resistant-Stainless-Steel-Top-Control-Smart-Tall-Tub-Dishwasher-with-AutoRelease-3rd-Rack-42dBA-DW80B7071US/320555956,988.0,1099.0,111.0,10.1,5.0,3,3,0,0,0,0
Samsung,"24 in. Fingerprint Resistant Stainless Steel Top Control Smart Tall Tub Dishwasher in with AutoRelease, 3rd Rack, 42dBA",Model # DW80B7070US,https://www.homedepot.com/p/Samsung-24-in-Fingerprint-Resistant-Stainless-Steel-Top-Control-Smart-Tall-Tub-Dishwasher-in-with-AutoRelease-3rd-Rack-42dBA-DW80B7070US/320499467,988.0,1099.0,111.0,10.1,5.0,20,20,0,0,0,0
Samsung,"Bespoke 24 in. White Glass Top Control Smart Built-in Tall Tub Dishwasher with Stainless Steel Tub and Smart Dry, 42 dBA",Model # DW80B7070AP,https://www.homedepot.com/p/Samsung-Bespoke-24-in-White-Glass-Top-Control-Smart-Built-in-Tall-Tub-Dishwasher-with-Stainless-Steel-Tub-and-Smart-Dry-42-dBA-DW80B7070AP/320011766,1028.0,1099.0,71.0,6.46,5.0,25,25,0,0,0,0
Samsung,"24 in. Fingerprint Resistant Stainless Steel Top Control Smart Tall Tub Dishwasher with AutoRelease, 3rd Rack, 44dBA",Model # DW80B6061US,https://www.homedepot.com/p/Samsung-24-in-Fingerprint-Resistant-Stainless-Steel-Top-Control-Smart-Tall-Tub-Dishwasher-with-AutoRelease-3rd-Rack-44dBA-DW80B6061US/320555955,798.0,999.0,201.0,20.12,5.0,3,3,0,0,0,0
Samsung,"24 in. Fingerprint Resistant Black Stainless Steel Top Control Smart Tall Tub Dishwasher with AutoRelease, 42dBA",Model # DW80B7070UG,https://www.homedepot.com/p/Samsung-24-in-Fingerprint-Resistant-Black-Stainless-Steel-Top-Control-Smart-Tall-Tub-Dishwasher-with-AutoRelease-42dBA-DW80B7070UG/320555957,1078.0,1199.0,121.0,10.09,5.0,19,19,0,0,0,0
Samsung,"24 in. Front Control Tall Tub Dishwasher in Stainless Steel with Stainless Steel Tub, ADA Compliant, 52 dBA",Model # DW60R2014US,https://www.homedepot.com/p/Samsung-24-in-Front-Control-Tall-Tub-Dishwasher-in-Stainless-Steel-with-Stainless-Steel-Tub-ADA-Compliant-52-dBA-DW60R2014US/311949998,718.0,799.0,81.0,10.14,3.5,105,35,29,13,5,23
Samsung,"24 in. Black Stainless Steel Top Control Smart Tall Tub Dishwasher with StormWash+, 44dBA",Model # DW80B6060UG,https://www.homedepot.com/p/Samsung-24-in-Black-Stainless-Steel-Top-Control-Smart-Tall-Tub-Dishwasher-with-StormWash-44dBA-DW80B6060UG/320249327,848.0,1099.0,251.0,22.84,4.8,14,11,3,0,0,0
Samsung,"24 in. Top Control Tall Tub Dishwasher in Fingerprint Resistant Stainless Steel with AutoRelease, 3rd Rack, 42 dBA",Model # DW80R7061US,https://www.homedepot.com/p/Samsung-24-in-Top-Control-Tall-Tub-Dishwasher-in-Fingerprint-Resistant-Stainless-Steel-with-AutoRelease-3rd-Rack-42-dBA-DW80R7061US/310601007,1049.0,1049.0,0.0,0.0,4.21,842,567,111,41,21,102
Samsung,"18 in. Top Control Dishwasher in Fingerprint Resistant Stainless Steel, AutoRelease, 46 dBA",Model # DW50T6060US,https://www.homedepot.com/p/Samsung-18-in-Top-Control-Dishwasher-in-Fingerprint-Resistant-Stainless-Steel-AutoRelease-46-dBA-DW50T6060US/314317891,808.0,899.0,91.0,10.12,4.61,59,44,10,3,1,1
Samsung,"24 in. Fingerprint Resistant Stainless Steel Top Control Smart Built-In Tall Tub Dishwasher with StormWash+, 44dBA",Model # DW80B6060US,https://www.homedepot.com/p/Samsung-24-in-Fingerprint-Resistant-Stainless-Steel-Top-Control-Smart-Built-In-Tall-Tub-Dishwasher-with-StormWash-44dBA-DW80B6060US/320249307,798.0,999.0,201.0,20.12,4.9,13,11,2,0,0,0
Samsung,"24 in. Front Control Dishwasher in Stainless Steel with 3rd Rack, 51 dBA",Model # DW80N3030US,https://www.homedepot.com/p/Samsung-24-in-Front-Control-Dishwasher-in-Stainless-Steel-with-3rd-Rack-51-dBA-DW80N3030US/306695847,648.0,799.0,151.0,18.9,3.9,1303,686,210,107,73,227
Samsung,"24 in. Top Control Tall Tub Dishwasher in Fingerprint Resistant Stainless Steel with AutoRelease, 3rd Rack, 48 dBA",Model # DW80R5060US,https://www.homedepot.com/p/Samsung-24-in-Top-Control-Tall-Tub-Dishwasher-in-Fingerprint-Resistant-Stainless-Steel-with-AutoRelease-3rd-Rack-48-dBA-DW80R5060US/310600624,748.0,899.0,151.0,16.8,3.78,1529,826,218,97,99,289
Samsung,"24 in. Top Control Tall Tub Dishwasher in Fingerprint Resistant Stainless Steel with AutoRelease, 3rd Rack, 39 dBA",Model # DW80R9950US,https://www.homedepot.com/p/Samsung-24-in-Top-Control-Tall-Tub-Dishwasher-in-Fingerprint-Resistant-Stainless-Steel-with-AutoRelease-3rd-Rack-39-dBA-DW80R9950US/309337448,1078.0,1199.0,121.0,10.09,4.3,1500,1058,169,58,53,162
